#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0109903	-	16	3669--3677	Development	paper	10409512	-	126
FBrf0076145	-	1	63--73	Development	paper	7867508	-	121
FBrf0206720	10.1242/dev.033340	6	995--1006	Development	paper	19211674	-	136
FBrf0201529	10.1242/dev.010397	23	4273--4282	Development	paper	17978004	-	134
FBrf0162084	10.1242/dev.00774	21	5065--5072	Development	review	12975340	-	130
FBrf0206511	10.1242/dev.025460	2	241--251	Development	paper	19088090	-	136
FBrf0134569	-	8	1403--1414	Development	paper	11262240	-	128
FBrf0046055	-	-	117--122	Development	paper	3449362	-	101
FBrf0083765	-	10	3245--3258	Development	paper	7588059	-	121
FBrf0230481	10.1242/dev.124768	24	4242--4252	Development	paper	26672093	-	142
FBrf0104919	-	21	4185--4193	Development	paper	9753673	-	125
FBrf0135734	-	10	1845--1856	Development	paper	11311164	-	128
FBrf0072460	-	11	3105--3117	Development	paper	7720555	-	120
FBrf0205732	10.1242/dev.025205	18	3103--3111	Development	paper	18701542	-	135
FBrf0237070	10.1242/dev.147033	21	3990--4001	Development	paper	28982685	-	144
FBrf0049535	-	1	1--22	Development	paper	2516798	-	107
FBrf0223903	10.1242/dev.107706	3	725	Development	erratum	24449847	FBrf0223727	141
FBrf0075105	-	12	3605--3619	Development	paper	7821226	-	120
FBrf0104751	-	18	3563--3569	Development	paper	9716522	-	125
FBrf0211147	10.1242/dev.052605	14	2427--2437	Development	paper	20570942	-	137
FBrf0139633	-	20	3889--3898	Development	paper	11641214	-	128
FBrf0193355	10.1242/dev.02620	22	4475--4483	Development	paper	17035293	-	133
FBrf0055879	-	3	543--554	Development	paper	1363225	-	116
FBrf0087329	-	4	1051--1058	Development	paper	8620832	-	122
FBrf0209966	10.1242/dev.042309	5	735--743	Development	paper	20110315	-	137
FBrf0239359	10.1242/dev.153817	13	dev153817	Development	paper	29945869	-	145
FBrf0201524	10.1242/dev.02832	10	1955--1965	Development	paper	17442699	-	134
FBrf0180176	10.1242/dev.01462	23	5795--5805	Development	paper	15525665	-	131
FBrf0206185	10.1242/dev.022434	23	3817--3827	Development	review	18997110	-	135
FBrf0237532	10.1242/dev.152694	24	4673--4683	Development	paper	29084807	-	144
FBrf0204205	10.1242/dev.019117	8	1471--1480	Development	paper	18339672	-	135
FBrf0235568	10.1242/dev.152769	10	1740--1742	Development	interview	28512195	-	144
FBrf0130155	-	22	4959--4969	Development	paper	11044409	-	127
FBrf0058116	-	3	719--729	Development	paper	7915669	-	118
FBrf0234015	10.1242/dev.138289	22	4203--4213	Development	paper	27707795	-	143
FBrf0224772	10.1242/dev.105650	9	1884--1893	Development	paper	24757005	-	141
FBrf0227070	10.1242/dev.111039	1	82--91	Development	paper	25516970	-	142
FBrf0103067	-	13	2433--2442	Development	paper	9609826	-	125
FBrf0135724	-	8	1457--1466	Development	paper	11262244	-	128
FBrf0094734	-	15	2983--2996	Development	paper	9247340	-	124
FBrf0084542	-	10	3467--3476	Development	paper	7588079	-	121
FBrf0134560	-	7	1137--1145	Development	paper	11245579	-	128
FBrf0190327	10.1242/dev.02253	5	791--800	Development	paper	16439478	-	133
FBrf0222414	10.1242/dev.094599	17	3635--3644	Development	paper	23942516	-	140
FBrf0127037	-	11	2395--2405	Development	paper	10804181	-	127
FBrf0224037	10.1242/dev.102152	4	889--898	Development	paper	24496625	-	141
FBrf0055873	-	2	475--485	Development	paper	1425336	-	115
FBrf0228405	10.1242/dev.124495	10	1725--1727	Development	interview	25968307	-	142
FBrf0078416	-	5	1411--1421	Development	paper	7789271	-	121
FBrf0075066	-	8	2245--2257	Development	paper	7925025	-	120
FBrf0161019	10.1242/dev.00533	16	3621--3637	Development	paper	12835380	-	130
FBrf0209122	10.1242/dev.040329	21	3607--3615	Development	paper	19793885	-	136
FBrf0135732	-	9	1709--1715	Development	paper	11290307	FBrf0141744	128
FBrf0208458	10.1242/dev.037911	16	2689--2693	Development	paper	19605497	FBrf0211079	136
