#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0236652	10.1242/jcs.203612	18	3040--3049	Journal of Cell Science	paper	28775151	-	130
FBrf0136756	-	11	2015--2025	Journal of Cell Science	paper	11493638	-	114
FBrf0230861	10.1242/jcs.179358	3	531--542	Journal of Cell Science	paper	26675236	-	129
FBrf0105274	-	19	2897--2909	Journal of Cell Science	paper	9730982	-	111
FBrf0145578	-	18	3213--3214	Journal of Cell Science	letter	-	-	114
FBrf0230859	10.1242/jcs.177527	3	477--482	Journal of Cell Science	paper	26698216	-	129
FBrf0144954	-	3	641--653	Journal of Cell Science	paper	11861770	-	115
FBrf0225175	10.1242/jcs.154898	11	2601	Journal of Cell Science	erratum	24879857	FBrf0224246	127
FBrf0058822	-	3	899--906	Journal of Cell Science	paper	8314880	-	104
FBrf0192824	10.1242/jcs.03382	5	826--837	Journal of Cell Science	paper	17284519	-	120
FBrf0226743	10.1242/jcs.099242	22	4821--4832	Journal of Cell Science	paper	25236597	-	127
FBrf0180383	10.1242/jcs.01347	20	4705--4715	Journal of Cell Science	paper	15331635	-	117
FBrf0205968	10.1242/jcs.030445	19	3218--3223	Journal of Cell Science	paper	18782863	FBrf0207633	121
FBrf0205741	10.1242/jcs.027144	16	2643--2651	Journal of Cell Science	paper	18653542	-	121
FBrf0217573	10.1242/jcs.092551	2	461--472	Journal of Cell Science	paper	22302994	-	125
FBrf0201791	10.1242/jcs.03309	1	3--6	Journal of Cell Science	review	17182898	-	120
FBrf0145579	-	19	3409--3410	Journal of Cell Science	review	11682600	-	114
FBrf0162193	10.1242/jcs.00676	17	3583--3590	Journal of Cell Science	paper	12876219	-	116
FBrf0190953	10.1242/jcs.02648	23	5431--5441	Journal of Cell Science	paper	16278294	-	118
FBrf0204821	10.1242/jcs.022269	8	1303--1313	Journal of Cell Science	paper	18388318	-	121
FBrf0221464	10.1242/jcs.117614	6	1406--1415	Journal of Cell Science	paper	23418347	-	126
FBrf0027734	-	-	1--10	Journal of Cell Science	paper	809453	-	19
FBrf0030339	-	-	13--21	Journal of Cell Science	paper	412855	-	27
FBrf0234040	10.1242/jcs.194332	22	4252--4264	Journal of Cell Science	paper	27802167	FBrf0234860	129
FBrf0236931	10.1242/jcs.201350	20	3557--3567	Journal of Cell Science	paper	28864767	-	130
FBrf0073881	-	1	321--328	Journal of Cell Science	paper	8175919	-	107
FBrf0208077	10.1242/jcs.042986	10	1665--1679	Journal of Cell Science	paper	19401336	-	122
FBrf0187836	10.1242/jcs.02464	15	3363--3370	Journal of Cell Science	paper	16079280	-	118
FBrf0058817	-	4	1175--1185	Journal of Cell Science	paper	8391015	-	104
FBrf0222115	10.1242/jcs.123505	14	3121--3133	Journal of Cell Science	paper	23687378	-	126
FBrf0227798	10.1242/jcs.163824	6	1150--1165	Journal of Cell Science	paper	25653389	-	128
FBrf0233487	10.1242/jcs.175638	18	3426--3436	Journal of Cell Science	paper	27521427	-	129
FBrf0230319	10.1242/jcs.173740	23	4395--4406	Journal of Cell Science	paper	26490996	-	128
FBrf0112113	-	21	3591--3601	Journal of Cell Science	review	10523496	-	112
FBrf0105922	-	22	3299--3309	Journal of Cell Science	paper	9788872	-	111
FBrf0241035	10.1242/jcs.217943	24	jcs217943	Journal of Cell Science	paper	30478194	-	131
FBrf0221112	10.1242/jcs.114355	1	254--262	Journal of Cell Science	paper	23077179	-	126
FBrf0137434	-	12	2223--2229	Journal of Cell Science	review	11493662	-	114
FBrf0216454	10.1242/jcs.092601	20	3393--3398	Journal of Cell Science	paper	21984807	-	124
FBrf0129842	-	19	3499--3508	Journal of Cell Science	paper	10984440	-	113
FBrf0167779	10.1242/jcs.00841	2	281--292	Journal of Cell Science	paper	14657277	-	117
FBrf0217878	10.1242/jcs.094409	4	965--972	Journal of Cell Science	paper	22421364	-	125
FBrf0221075	10.1242/jcs.110361	1	139--148	Journal of Cell Science	paper	23178940	-	126
FBrf0190964	10.1242/jcs.02543	18	4077--4081	Journal of Cell Science	review	16155250	-	118
FBrf0207857	-	20	-	Journal of Cell Science	supplementary material	-	FBrf0200519	120
FBrf0024116	-	3	675--687	Journal of Cell Science	paper	4630727	-	11
FBrf0229735	10.1242/jcs.175158	19	3533--3542	Journal of Cell Science	review	26345366	-	128
FBrf0108393	-	8	1225--1235	Journal of Cell Science	paper	10085257	-	112
FBrf0221120	10.1242/jcs.110452	24	6038--6048	Journal of Cell Science	paper	23132924	-	125
FBrf0221171	10.1242/jcs.115675	3	814--824	Journal of Cell Science	paper	23264743	-	126
FBrf0223621	10.1242/jcs.132852	1	101--110	Journal of Cell Science	paper	24163435	-	127
FBrf0201719	10.1242/jcs.004200	14	2454--2466	Journal of Cell Science	paper	17607000	-	120
FBrf0217175	10.1242/jcs.088773	24	4203--4212	Journal of Cell Science	paper	22193959	-	124
FBrf0232761	10.1242/jcs.186460	13	2514--2525	Journal of Cell Science	paper	27206860	-	129
FBrf0087675	-	5	911--918	Journal of Cell Science	paper	8743938	-	109
FBrf0076752	-	9	2609--2616	Journal of Cell Science	paper	7844174	-	107
FBrf0200433	10.1242/jcs.007690	16	2807--2818	Journal of Cell Science	paper	17652159	-	120
FBrf0205193	10.1242/jcs.021931	10	1671--1680	Journal of Cell Science	paper	18445681	-	121
FBrf0225044	10.1242/jcs.142026	10	2282--2290	Journal of Cell Science	paper	24610944	-	127
FBrf0091177	-	13	3001--3012	Journal of Cell Science	paper	9004035	-	109
FBrf0105717	-	-	2825--2837	Journal of Cell Science	paper	7876350	-	107
FBrf0084310	-	10	3189--3198	Journal of Cell Science	paper	7593280	-	108
FBrf0223845	10.1242/jcs.142737	2	465--474	Journal of Cell Science	paper	24213534	-	127
FBrf0234831	10.1242/jcs.196139	4	689--696	Journal of Cell Science	paper	28202603	-	130
FBrf0058828	-	4	993--1000	Journal of Cell Science	paper	8227220	-	105
FBrf0167775	10.1242/jcs.00783	22	4597--4604	Journal of Cell Science	paper	14576353	-	116
FBrf0217641	10.1242/jcs.101469	3	584--588	Journal of Cell Science	paper	22389398	-	125
FBrf0201149	10.1242/jcs.03432	11	1829--1832	Journal of Cell Science	review	17515480	-	120
FBrf0215049	10.1242/jcs.078667	17	2914--2926	Journal of Cell Science	paper	21878499	-	124
FBrf0234491	10.1242/jcs.194241	2	325--331	Journal of Cell Science	paper	28049716	FBrf0234797	130
FBrf0111467	-	19	3319--3330	Journal of Cell Science	paper	10504337	-	112
FBrf0100541	-	2	213--221	Journal of Cell Science	paper	9405306	-	111
FBrf0193194	10.1242/jcs.03098	19	3901--3903	Journal of Cell Science	review	16988024	-	119
FBrf0192063	10.1242/jcs.02973	Pt 12	2425--2434	Journal of Cell Science	paper	16720643	-	119
FBrf0039739	-	-	255--264	Journal of Cell Science	paper	6420423	-	64
FBrf0184071	10.1242/jcs.01619	3	633--642	Journal of Cell Science	paper	15657084	-	118
FBrf0052268	-	3	393--404	Journal of Cell Science	paper	2117013	-	95
FBrf0190959	10.1242/jcs.02743	2	250--258	Journal of Cell Science	paper	16410550	-	119
FBrf0239705	10.1242/jcs.218016	15	jcs218016	Journal of Cell Science	paper	29930086	-	131
FBrf0135992	-	24	4391--4397	Journal of Cell Science	review	11082032	-	113
FBrf0044741	-	-	155--172	Journal of Cell Science	paper	3098744	-	82
FBrf0212992	10.1242/jcs.078964	5	699--705	Journal of Cell Science	paper	21285246	-	124
FBrf0135845	-	9	1609--1612	Journal of Cell Science	review	11309192	-	114
FBrf0187826	10.1242/jcs.02361	11	2451--2459	Journal of Cell Science	paper	15923658	-	118
FBrf0211459	10.1242/jcs.063172	16	2697--2707	Journal of Cell Science	paper	20647374	-	123
FBrf0108774	-	13	2203--2211	Journal of Cell Science	paper	10362550	-	112
FBrf0187833	10.1242/jcs.02534	18	4207--4217	Journal of Cell Science	paper	16141238	-	118
FBrf0200732	10.1242/jcs.004366	11	1888--1897	Journal of Cell Science	paper	17504806	-	120
FBrf0190952	10.1242/jcs.02834	6	1144--1153	Journal of Cell Science	paper	16507586	-	119
FBrf0208285	10.1242/jcs.046268	14	2534--2542	Journal of Cell Science	paper	19571116	-	122
FBrf0139720	-	18	3219--3231	Journal of Cell Science	review	11591811	-	114
FBrf0039740	-	-	301--318	Journal of Cell Science	paper	6413518	-	62
FBrf0076755	-	12	3521--3534	Journal of Cell Science	paper	7706403	-	107
FBrf0187841	10.1242/jcs.02392	11	2529--2543	Journal of Cell Science	paper	15923665	-	118
FBrf0050224	-	3	463--470	Journal of Cell Science	paper	2517292	-	94
FBrf0144953	-	6	1259--1271	Journal of Cell Science	paper	11884525	-	115
FBrf0190954	10.1242/jcs.02718	22	5171--5180	Journal of Cell Science	review	16280550	-	118
FBrf0210408	10.1242/jcs.059469	7	1099--1107	Journal of Cell Science	paper	20215404	-	123
FBrf0058827	-	1	81--91	Journal of Cell Science	paper	8360279	-	105
FBrf0215750	10.1242/jcs.037887	21	3501--3504	Journal of Cell Science	review	18946020	-	121
FBrf0105398	-	16	2377--2384	Journal of Cell Science	paper	9683632	-	111
FBrf0179331	10.1242/jcs.01225	17	3797--3805	Journal of Cell Science	paper	15252118	-	117
FBrf0167778	10.1242/jcs.00799	23	4763--4776	Journal of Cell Science	paper	14600262	-	116
