#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0225045	10.1242/jeb.096941	10	1725--1736	Journal of Experimental Biology	paper	24526728	-	217
FBrf0174866	10.1242/jeb.00855	7	1151--1161	Journal of Experimental Biology	paper	14978057	FBrf0179384	207
FBrf0236850	10.1242/jeb.160523	19	3508--3518	Journal of Experimental Biology	paper	28978639	-	220
FBrf0014740	-	-	251--260	Journal of Experimental Biology	paper	14484099	-	39
FBrf0202184	10.1242/jeb.006361	14	2489--2500	Journal of Experimental Biology	paper	17601953	-	210
FBrf0206105	10.1242/jeb.016451	19	3103--3110	Journal of Experimental Biology	paper	18805809	-	211
FBrf0001494	-	-	85--122	Journal of Experimental Biology	paper	-	-	3
FBrf0195338	10.1242/jeb.02369	16	3170--3182	Journal of Experimental Biology	paper	16888065	-	209
FBrf0202875	10.1242/jeb.012682	3	341--353	Journal of Experimental Biology	paper	18203989	-	211
FBrf0238425	10.1242/jeb.168419	6	jeb168419	Journal of Experimental Biology	paper	29367274	-	221
FBrf0241641	10.1242/jeb.192500	5	jeb192500	Journal of Experimental Biology	paper	30679242	-	222
FBrf0234381	10.1242/jeb.143008	1	42--52	Journal of Experimental Biology	review	28057827	-	220
FBrf0137290	-	13	2331--2338	Journal of Experimental Biology	paper	11507115	-	204
FBrf0224728	10.1242/jeb.096180	8	1307--1315	Journal of Experimental Biology	paper	24436380	-	217
FBrf0222486	-	7	v--vi	Journal of Experimental Biology	note	23607125	FBrf0220391	216
FBrf0216793	10.1242/jeb.062091	24	4201--4208	Journal of Experimental Biology	paper	22116763	-	214
FBrf0219291	10.1242/jeb.069260	18	3254--3265	Journal of Experimental Biology	paper	22693027	FBrf0222640	215
FBrf0238613	10.1242/jeb.170464	7	jeb170464	Journal of Experimental Biology	paper	29496781	-	221
FBrf0090528	-	9	2085--2104	Journal of Experimental Biology	paper	8831148	-	199
FBrf0216676	10.1242/jeb.060533	23	3897--3905	Journal of Experimental Biology	paper	22071180	-	214
FBrf0193107	10.1242/jeb.001354	5	906--918	Journal of Experimental Biology	paper	17297149	-	210
FBrf0236734	10.1242/jeb.160176	18	3344--3354	Journal of Experimental Biology	paper	28705828	-	220
FBrf0239163	10.1242/jeb.159533	11	jeb159533	Journal of Experimental Biology	review	29895581	-	221
FBrf0100801	-	3	385--401	Journal of Experimental Biology	paper	9427672	-	201
FBrf0220807	10.1242/jeb.076356	5	809--814	Journal of Experimental Biology	paper	23155086	-	216
FBrf0229959	10.1242/jeb.122408	20	3295--3307	Journal of Experimental Biology	paper	26347566	-	218
FBrf0054538	-	-	161--181	Journal of Experimental Biology	paper	1905747	-	157
FBrf0063432	-	-	65--93	Journal of Experimental Biology	paper	-	-	112
FBrf0006391	-	-	1--4	Journal of Experimental Biology	paper	-	-	21
FBrf0238887	10.1242/jeb.177550	9	jeb177550	Journal of Experimental Biology	paper	29593084	-	221
FBrf0200528	10.1242/jeb.02746	8	1362--1377	Journal of Experimental Biology	paper	17401119	-	210
FBrf0210635	10.1242/jeb.036053	10	1717--1730	Journal of Experimental Biology	paper	20435823	-	213
FBrf0201421	10.1242/jeb.012088	24	4465--4470	Journal of Experimental Biology	paper	18055635	-	210
FBrf0091027	-	12	2767--2774	Journal of Experimental Biology	paper	9110958	-	199
FBrf0228519	10.1242/jeb.125120	10	1613	Journal of Experimental Biology	erratum	25994636	FBrf0228206	218
FBrf0018819	-	-	297--305	Journal of Experimental Biology	paper	6065816	-	47
FBrf0241563	10.1242/jeb.195347	4	jeb195347	Journal of Experimental Biology	paper	30679245	-	222
FBrf0225177	10.1242/jeb.096792	11	1849--1859	Journal of Experimental Biology	paper	24871919	-	217
