#SUBMITTED ID	DOI	ISSUE	PAGES	PARENT_PUBLICATION_TITLE	PUBLICATION_TYPE	PUBMED_ID	RELATED_PUBLICATIONS	VOLUME
FBrf0226710	10.1242/bio.20149407	11	1020--1031	Biology open	paper	25305039	-	3
FBrf0240468	10.1242/bio.033001	11	bio033001	Biology open	paper	30341100	-	7
FBrf0225338	10.1242/bio.20147302	6	444--452	Biology open	paper	24795146	-	3
FBrf0235489	10.1242/bio.022905	5	654--663	Biology open	paper	28351835	-	6
FBrf0230448	10.1242/bio.013086	12	1753--1761	Biology open	paper	26621831	-	4
FBrf0232844	10.1242/bio.019000	7	928--941	Biology open	paper	27288507	-	5
FBrf0228126	10.1242/bio.201411296	4	553--560	Biology open	paper	25750438	-	4
FBrf0225627	10.1242/bio.20148276	7	561--570	Biology open	paper	24907370	-	3
FBrf0236892	10.1242/bio.026039	10	1458--1471	Biology open	paper	28821490	-	6
FBrf0220138	10.1242/bio.20121909	10	1043--1048	Biology open	paper	23213382	-	1
FBrf0223826	10.1242/bio.20136692	1	1--11	Biology open	paper	24429107	-	3
FBrf0227500	10.1242/bio.201410827	2	233--243	Biology open	paper	25617422	-	4
FBrf0236039	10.1242/bio.025825	7	967--978	Biology open	paper	28522430	-	6
FBrf0230109	10.1242/bio.013979	11	1345--1355	Biology open	paper	26353861	-	4
FBrf0225625	10.1242/bio.20147906	7	606--613	Biology open	paper	24950968	-	3
FBrf0223297	10.1242/bio.20135355	11	1137--1147	Biology open	paper	24244850	-	2
FBrf0241687	10.1242/bio.039842	3	bio039842	Biology open	paper	30837217	-	8
FBrf0226495	10.1242/bio.20148573	10	947--957	Biology open	paper	25238759	-	3
FBrf0223604	10.1242/bio.20136775	12	1321--1323	Biology open	paper	24337116	FBrf0237060	2
FBrf0233702	10.1242/bio.020958	10	1420--1430	Biology open	paper	27591190	-	5
FBrf0230647	10.1242/bio.015636	1	1--10	Biology open	paper	26658272	-	5
FBrf0230450	10.1242/bio.013565	12	1707--1714	Biology open	paper	26581591	-	4
FBrf0228123	10.1242/bio.201410975	4	474--481	Biology open	paper	25795912	FBrf0229202	4
FBrf0233179	10.1242/bio.019638	8	1040--1051	Biology open	paper	27422905	-	5
FBrf0238687	10.1242/bio.034025	4	bio034025	Biology open	paper	29618455	-	7
FBrf0233182	10.1242/bio.017194	8	1030--1039	Biology open	paper	27387531	-	5
FBrf0237213	10.1242/bio.027821	11	1581--1591	Biology open	paper	29141951	-	6
FBrf0236893	10.1242/bio.022863	10	1434--1444	Biology open	paper	28808138	-	6
FBrf0235492	10.1242/bio.024083	5	540--550	Biology open	paper	28298318	-	6
FBrf0220181	10.1242/bio.20121255	6	597--606	Biology open	paper	23213453	-	1
FBrf0220167	10.1242/bio.2012043	3	161--172	Biology open	paper	23213407	-	1
FBrf0223870	10.1242/bio.20137120	1	42--49	Biology open	paper	24326186	-	3
FBrf0234807	10.1242/bio.018226	2	296--304	Biology open	paper	28011628	-	6
FBrf0222190	10.1242/bio.20134887	7	711--717	Biology open	paper	23862019	-	2
FBrf0229261	10.1242/bio.012815	8	1024--1039	Biology open	paper	26187947	-	4
FBrf0227499	10.1242/bio.201410850	2	119--124	Biology open	paper	25572421	-	4
FBrf0239973	10.1242/bio.036848	9	bio036848	Biology open	paper	30185423	-	7
FBrf0226712	10.1242/bio.201410066	11	1127--1138	Biology open	paper	25361581	-	3
FBrf0231289	10.1242/bio.016162	3	229--236	Biology open	paper	26863941	-	5
FBrf0228465	10.1242/bio.201411080	5	585--595	Biology open	paper	25887123	-	4
FBrf0223799	10.1242/bio.20136973	1	22--28	Biology open	paper	24326184	-	3
FBrf0230649	10.1242/bio.015727	1	49--54	Biology open	paper	26700724	-	5
FBrf0230992	10.1242/bio.015313	2	195--203	Biology open	paper	26834020	-	5
FBrf0227775	10.1242/bio.201410595	3	355--363	Biology open	paper	25681394	-	4
FBrf0234001	10.1242/bio.019380	11	1642--1647	Biology open	paper	27694106	-	5
FBrf0233183	10.1242/bio.018275	8	1102--1110	Biology open	paper	27481842	-	5
FBrf0220148	10.1242/bio.20121966	10	1006--1015	Biology open	paper	23213378	FBrf0233180	1
FBrf0241123	10.1242/bio.039628	1	bio039628	Biology open	paper	30530810	-	8
FBrf0229262	10.1242/bio.012914	8	1052--1061	Biology open	paper	26157019	-	4
FBrf0238162	10.1242/bio.029744	2	bio029744	Biology open	paper	29463514	-	7
FBrf0228122	10.1242/bio.201411072	4	420--434	Biology open	paper	25819843	-	4
FBrf0241192	10.1242/bio.038299	1	bio038299	Biology open	paper	30642916	-	8
FBrf0227046	10.1242/bio.20148342	12	1196--1206	Biology open	paper	25416060	-	3
FBrf0220160	10.1242/bio.20121172	7	667--676	Biology open	paper	23213460	-	1
FBrf0229264	10.1242/bio.011262	8	947--953	Biology open	paper	26116655	-	4
FBrf0229202	-	4	-	Biology open	supplementary material	-	FBrf0228123	4
FBrf0235048	10.1242/bio.020412	3	365--369	Biology open	paper	28193602	-	6
FBrf0241376	10.1242/bio.036657	2	bio036657	Biology open	paper	30670376	-	8
FBrf0228468	10.1242/bio.20148417	5	672--684	Biology open	paper	25836674	-	4
FBrf0233180	10.1242/bio.020230	8	1175	Biology open	erratum	27412266	FBrf0220148	5
FBrf0223746	10.1242/bio.20134671	12	1313--1320	Biology open	paper	24337115	-	2
FBrf0237212	10.1242/bio.029991	11	1664--1671	Biology open	paper	29141953	-	6
FBrf0224426	10.1242/bio.20147161	3	201--209	Biology open	paper	24570398	-	3
FBrf0239556	10.1242/bio.034926	7	bio034926	Biology open	paper	30037884	-	7
FBrf0220151	10.1242/bio.2012471	6	548--558	Biology open	paper	23213447	-	1
FBrf0232148	10.1242/bio.016261	5	662--667	Biology open	paper	27069252	-	5
FBrf0224111	10.1242/bio.20146577	2	138--151	Biology open	paper	24414207	-	3
FBrf0230991	10.1242/bio.015016	2	165--173	Biology open	paper	26794610	-	5
FBrf0221918	10.1242/bio.20134952	6	596--604	Biology open	paper	23789110	-	2
FBrf0230111	10.1242/bio.013011	11	1558--1568	Biology open	paper	26519516	-	4
FBrf0236320	10.1242/bio.026294	8	1229--1234	Biology open	paper	28642244	-	6
FBrf0222458	10.1242/bio.20134317	8	822--828	Biology open	paper	23951408	-	2
FBrf0236037	10.1242/bio.023895	7	1074--1083	Biology open	paper	28596296	-	6
FBrf0225511	-	5	-	Biology open	supplementary material	-	FBrf0225021	3
FBrf0239972	10.1242/bio.035618	9	bio035618	Biology open	paper	30115617	-	7
FBrf0237887	10.1242/bio.027391	1	bio027391	Biology open	paper	29361610	-	7
FBrf0235490	10.1242/bio.022210	5	563--570	Biology open	paper	28302666	-	6
FBrf0220193	10.1242/bio.20122238	10	983--993	Biology open	paper	23213376	-	1
FBrf0223872	10.1242/bio.20137070	1	59--71	Biology open	paper	24326187	-	3
FBrf0239350	10.1242/bio.034447	6	bio034447	Biology open	paper	29967127	-	7
FBrf0233998	10.1242/bio.022038	11	1706--1711	Biology open	paper	27754851	-	5
FBrf0228985	10.1242/bio.012344	7	852--857	Biology open	paper	25979705	-	4
FBrf0229263	10.1242/bio.012351	8	937--946	Biology open	paper	26116656	-	4
FBrf0237501	10.1242/bio.026641	12	1851--1860	Biology open	paper	29101098	-	6
FBrf0226233	10.1242/bio.20149027	9	839--849	Biology open	paper	25171887	-	3
FBrf0220546	10.1242/bio.20123038	1	37--48	Biology open	paper	23336075	-	2
FBrf0223863	10.1242/bio.20136437	1	81--93	Biology open	paper	24357229	-	3
FBrf0230110	10.1242/bio.014332	11	1549--1557	Biology open	paper	26519517	-	4
FBrf0225021	10.1242/bio.20147310	5	332--341	Biology open	paper	24705015	FBrf0225511	3
FBrf0228124	10.1242/bio.201410579	4	450--462	Biology open	paper	25795910	-	4
FBrf0230449	10.1242/bio.014696	12	1762--1771	Biology open	paper	26621827	-	4
FBrf0229598	10.1242/bio.012872	9	1132--1142	Biology open	paper	26276099	-	4
FBrf0224709	10.1242/bio.20146494	4	250--260	Biology open	paper	24659248	-	3
FBrf0233181	10.1242/bio.017566	8	1011--1021	Biology open	paper	27402967	-	5
FBrf0221082	10.1242/bio.20133384	3	283--294	Biology open	paper	23519152	-	2
FBrf0220200	10.1242/bio.2012943	6	507--515	Biology open	paper	23213443	-	1
FBrf0235256	10.1242/bio.022467	4	439--448	Biology open	paper	28235844	-	6
FBrf0220171	10.1242/bio.2012596	5	422--429	Biology open	paper	23213433	-	1
FBrf0237888	10.1242/bio.031435	1	bio031435	Biology open	paper	29374056	-	7
FBrf0220875	10.1242/bio.20123277	2	183--190	Biology open	paper	23429853	-	2
FBrf0220533	10.1242/bio.20123012	1	68--81	Biology open	paper	23336078	-	2
FBrf0225626	10.1242/bio.20148458	7	575--582	Biology open	paper	24907371	-	3
FBrf0235491	10.1242/bio.024075	5	714--721	Biology open	paper	28298319	-	6
FBrf0230451	10.1242/bio.015206	12	1696--1706	Biology open	paper	26581590	-	4
FBrf0227776	10.1242/bio.201411205	3	317--330	Biology open	paper	25681391	-	4
FBrf0228125	10.1242/bio.201410934	4	528--541	Biology open	paper	25770183	-	4
FBrf0235049	10.1242/bio.022079	3	390--401	Biology open	paper	28108477	-	6
FBrf0230648	10.1242/bio.016089	1	83--89	Biology open	paper	26700726	-	5
FBrf0226709	10.1242/bio.201410165	11	1045--1056	Biology open	paper	25326513	-	3
FBrf0239420	10.1242/bio.035394	7	bio035394	Biology open	paper	29945873	FBrf0239842	7
FBrf0234806	10.1242/bio.020040	2	165--175	Biology open	paper	28202468	-	6
FBrf0220132	10.1242/bio.2012497	4	353--361	Biology open	paper	23213425	-	1
FBrf0234805	10.1242/bio.020669	2	232--243	Biology open	paper	28108476	-	6
FBrf0227774	10.1242/bio.201410785	3	345--354	Biology open	paper	25681395	-	4
FBrf0230112	10.1242/bio.013961	11	1518--1527	Biology open	paper	26490676	-	4
FBrf0232845	10.1242/bio.018937	7	987--992	Biology open	paper	27256406	-	5
FBrf0230108	10.1242/bio.013755	11	1448--1461	Biology open	paper	26459243	-	4
FBrf0222412	10.1242/bio.20134564	8	795--801	Biology open	paper	23951405	-	2
FBrf0225020	10.1242/bio.20147559	5	342--352	Biology open	paper	24705017	-	3
FBrf0225340	10.1242/bio.20148490	6	522--528	Biology open	paper	24876387	-	3
FBrf0232005	10.1242/bio.017152	4	397--408	Biology open	paper	26935392	-	5
FBrf0226496	10.1242/bio.20148631	10	881--886	Biology open	paper	25190057	-	3
FBrf0236038	10.1242/bio.022749	7	1013--1023	Biology open	paper	28711868	-	6
FBrf0228466	10.1242/bio.201511551	5	636--648	Biology open	paper	25862246	-	4
FBrf0225339	10.1242/bio.20147690	6	510--521	Biology open	paper	24876388	-	3
FBrf0232640	10.1242/bio.016642	6	678--688	Biology open	paper	27190105	-	5
FBrf0241754	10.1242/bio.012690	9	1105--1108	Biology open	paper	26231626	-	4
FBrf0234224	10.1242/bio.021667	12	1770--1775	Biology open	paper	27979829	-	5
FBrf0220141	10.1242/bio.2011013	1	19--29	Biology open	paper	23213364	-	1
FBrf0240692	10.1242/bio.037911	11	bio037911	Biology open	paper	30361412	-	7
FBrf0239112	10.1242/bio.032003	6	bio032003	Biology open	paper	29666051	-	7
FBrf0227045	10.1242/bio.201410041	12	1252--1261	Biology open	paper	25416061	-	3
FBrf0238685	10.1242/bio.029454	4	bio029454	Biology open	paper	29615416	-	7
FBrf0233701	10.1242/bio.020636	10	1530--1534	Biology open	paper	27628033	-	5
FBrf0220179	10.1242/bio.2012047	3	182--196	Biology open	paper	23213409	-	1
FBrf0223690	10.1242/bio.20136619	12	1412--1420	Biology open	paper	24285708	-	2
FBrf0234000	10.1242/bio.017525	11	1648--1661	Biology open	paper	27737823	-	5
FBrf0227777	10.1242/bio.20149936	3	301--311	Biology open	paper	25661871	-	4
FBrf0220198	10.1242/bio.2012448	4	362--375	Biology open	paper	23213426	-	1
FBrf0226711	10.1242/bio.20149092	11	1011--1019	Biology open	paper	25305037	-	3
